id,sex,bdate,political,religion,inspired_by,people_main,life_main,smoking,alcohol,Ломбард,Спортивная организация,Гостиница,Технология,"Народная музыка, фолк",Прокат,Финансы,Группа коллег,Памятник культуры,Журналистка,Зоопарк,Организация,Альбом,Салон,Парк отдыха,"Учёный, преподаватель",Домашние и дикие животные,Автошкола,Мототехника,"Производство, промышленность",Приложение,Печатное издание,Еда и напитки,Кулинария,Другая музыка,Врач,Интернет-кафе,Футбол,Городское сообщество,"Кулинария, рецепты",Товары для праздников,"Тексты, аккорды",Визовый центр,Спортивная команда,Потребительские товары,Латиноамериканская музыка,Турагентство,"Баня, сауна",Ремонтная мастерская,Продюсер,Боксер,Книга,Мода,СМИ,"Одежда, обувь",Религиозная организация,Культура и искусство,Спортсмен / Спортсменка,Пошив и ремонт одежды,Джаз,Классическая музыка,Реклама,Мобильные технологии,Композитор,Политика,"Политик, госслужащий",Фан-сообщество,Певица,Атлет,Обучающие курсы,Религия,"Тренинг, семинар",Блог,Фото- и видеосъёмка,Другие виды спорта,Студия звукозаписи,Оператор стационарной связи,Молодёжное движение,Спектакль,Управление активами,Информационный портал,Танцор,Актриса,Подготовка к свадьбе,Фестиваль,Интернет,Выставочный комплекс,Шоу-бизнес,Туризм,Гонщик,Кофейня,Больница,Развлечения,Курьерская служба,Общество,Грузоперевозки,Культура,ВКонтакте,Бассейн,Военное дело,Игры,Электроника,"Строительные материалы, инструменты",Бытовая техника,"Бар, паб",Транспорт,Онлайн-игра,Туризм и отдых,Творческое объединение,Розничная торговля,Персонаж,Спортивные товары,Политическая партия,Ролевые игры,Летние виды спорта,Видеоигра,Бутик,Анимация,Актёр,Танцовщица,Место отдыха,Журналист,Культурный центр,Радиостанция,Дизайн-студия,Кинематограф,Общественное питание,Общественная организация,"Туризм, путешествия",Автотовары,Зоомагазин,Киберспортсмен,Другие хобби,Интернет-магазин,Юмор,Туристическое агентство,Охота и рыбалка,"Аптека, оптика",Детская одежда и обувь,Инди,Охота,Парк,Шоу,Волейбольная команда,Архив,Страхование,Услуга,Психология,Салоны сотовой связи,Теннис,Часы,Почтовая служба,Однофамильцы и тёзки,Отдых на природе,Рок,Искусство и развлечения,Родственники,Фото- и видеосъемка,Боевые искусства,Госслужащий,Программное обеспечение,Хостел,Объявления,Садоводство,Фитнес,Оборудование,Певец,Дизайнерская студия,Цирк,Общественный деятель,"Игры, игрушки",Группа памяти,Дом отдыха,Образовательное учреждение,Экстремальный спорт,Государственная организация,Медицина,Лёгкая атлетика,Ресторан,Публицист,Автовладельцы,Фильм,Ведущая,Видеоигры,Поэт или поэтесса,Цветы,"Стиль, мода",Интернет-провайдер,Модельное агентство,Дом культуры,Журналист или журналистка,Предприниматель или предпринимательница,Водный транспорт,"Беременность, роды",Закрытое сообщество,Блогер,Веб-студия,Предприниматель,Полиграфические услуги,Дизайнер,Настольные игры,Автомойка,Автосервис,Соседи,Киберспортивная команда,Дизайн интерьера,Телекоммуникации,Зимние виды спорта,Киберспортивная организация,Квест,"Печать, полиграфия",Спортивный комплекс,Художник или художница,Мотоспорт,Модель,"Rap, Hip-Hop",Университет,Колледж,Сайты,Родители и дети,Писатель или писательница,Телепрограмма,Телеканал,Друзья,Хоккей,Кино,Юридическая консультация,"Стиль, одежда, обувь","Музей, галерея, выставка",Нотариальная контора,Обмен музыкой,Салон красоты,"Консалтинг, бизнес-услуги",Управляющая компания,Активный отдых,"Стилист, имиджмейкер",Спортивное питание,Группа выпускников,Политик,Товары для офиса,"Хостинг, регистрация доменов",Писательница,Рыбалка,Звукозапись,Кафе,Духовное лицо,Полиграфия,Аптека,Медицинская услуга,Мотоциклы и другая мототехника,Группа одноклассников,Клиника,Торгово-развлекательный центр,Школа,Товары для творчества,Товары для дома,Профессиональные услуги,Ночной клуб,Книжный магазин,Доставка еды,Автопроизводитель,Футбольная команда,Здоровый образ жизни,"Туры, экскурсии",Строительство,Промышленное производство,Медицинский центр,Стример,Аренда автомобилей,Университетский спорт,История,Программирование,Техникум,"Режиссёр, продюсер",Некоммерческая организация,"Техника, электроника",Общественное движение,Юриспруденция,"Кафе, ресторан","Шоу, передача",Языки,Борец,Электронная музыка,Концерт,Театр,Религиозное учреждение,Мебель и интерьер,"Астрология, эзотерика",Платёжная система,Компания,Предпринимательница,Лицей,Каток,Писатель,Инвестиции,Интеллектуальные игры,Компьютеры и комплектующие,Покупки,Музыка,Группа сокурсников,Бар,Музыкальная группа,Оператор мобильной связи,Художник,DJ,Волейбол,"Химчистка, прачечная",Комик,Финансовые рынки,Высокие технологии,Автоспорт,Услуги для автовладельцев,Актёр или актриса,Автомобили,Велосипеды,Транспортные услуги,Критик,Фотограф,"Аэропорт, вокзал",Юридические услуги,Прачечная - Химчистка,Поэтесса,Организация праздников,Тату-салон,"Лотерея, розыгрыш",Музыкальные инструменты,Страна,Дизайн и графика,Товары для детей,Бистро,Спа-салон,Водный спорт,Бильярд,Автострахование,"Санаторий, дом отдыха",Детское питание,R&B,Образование,Вымышленный персонаж,Ювелирные изделия,Автосалон,Клининг,"Диеты, здоровое питание",Ведущий,Супермаркет,Режиссёр,Сериал,Институт,Сайт,Музыкант,Ролики,Издательский дом,Ведущий или ведущая,Другие услуги,Галерея,Безопасность,Пассажирские перевозки,Гимназия,Поиск работы,Спортивная одежда и обувь,Игровая студия,Концертный зал,Певец или певица,База отдыха,Футболист,Товары для животных,Метал,Спорт и красота,Бухучёт и налоги,Благотворительность,"Продукты питания, напитки",Оператор спутникового телевидения,Ветеринарная клиника,Творчество,Такси,Паб,Клуб,Публичная страница,Услуги для владельцев животных,Поэт,"Национальный парк, заповедник",Спортсмен,"Банк, финансовое учреждение",Спорт,Товары для взрослых,Хоккейная команда,"Украшения, бижутерия ",Интерьер,Фитнес-центр,Торговый центр,Музыкальный лейбл,Уход за собой,Косметология,Другие товары,Интернет-СМИ,Художница,Экономика и финансы,Компьютерная техника,Киберспорт,Танцевальная музыка,Производство контента,Кинотеатр,Литература,Авиакомпания,Бизнес,Летний лагерь,Эротика,Танцевальная школа,Блюз,Страховая компания,Дополнительное образование,Знакомства,Антиквариат,Музей,Танцы,"Парфюмерия, косметика",Магазин,"Танцор, танцовщица",Курсы,Отделочные и ремонтные работы,Стоматология,Храм,Благотворительная организация,Парк развлечений,Детективное агентство,"Строительство, ремонт",Компьютерные услуги,Санаторий,Лекарственный препарат,Мультфильм,Боулинг,Игра,Мебель,Строительные и ремонтные работы,Летний лагерь ,Баскетбольная команда,Наука,Пенсионный фонд,Свадебный салон,Фотография,Баскетбол,Психолог,Отношения полов,Недвижимость,Спортивный клуб,"Продажа билетов, бронирование гостиниц","Товары для дачи, огорода",Библиотека,Философия,Товар,Спортсменка,Детский сад,Дискуссионный клуб,Азартные игры
1075,2,2.10,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16249,2,19.3.1986,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,20,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,3,0
22283,2,29.2.1988,3,0,,5,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,6,0,8,20,1,0,0,0,0,4,0,0,0,0,0,0,1,0,12,0,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,1,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,1,1,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,1,0,0,57,0,0,0,1,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,5,0,0,1,2,0,0,4,0,1,12,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,5,0,0,3,1,0,0,0,3,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,10,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,1,29,0,0,4,11,0,0,1,7,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,15,0,0,1,0,0,5,0,0,0,0,0,2,0,0,0,3,0
29827,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44236,2,30.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62642,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,3,0,0,2,19,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0,1,0,0,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,1,5,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,6,0,0,0,5,7,1,0,0,2,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,4,0,5,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,1,3,0,0,4,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,1,2,0,0,8,1,1,14,0,9,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,8,5,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,1,0,0,2,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,24,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,4,3,0,0,41,1,1,0,0,2,0,1,10,0,5,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,9,0,0,11,0,2,0,0,1,5,0,0,0,2,0
72692,2,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87552,2,17.12,4,0,USA,6,2,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,1,1,1,0,0,6,0,0,3,12,5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,1,2,0,1,0,8,2,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,2,0,5,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,12,1,0,1,1,0,59,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,3,0,0,0,0,1,0,0,0,1,2,2,4,0,0,0,3,0,0,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,4,0,0,3,0,0,0,1,0,0,5,0,2,0,0,6,0,2,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,1,6,1,0,0,0,2,0,0,4,5,0,0,0,2,0,0,0,2,2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,1,1,0,0,0,1,4,0,0,0,0,26,0,1,2,0,1,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,4,3,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,1,19,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,12,0,0,0,1,0,0,1,6,0,13,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,14,0,0,8,0,0,0,0,0,0,0,0,3,1,0,0,1,0
97500,2,3.11.1988,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,2,0
111068,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,1,0
